2017-07-21 12:05:19---find a robot
2017-07-21 12:35:15---38732-- region:1-- type:0--value:B001AFFVWQ-- status:SUCCESS
2017-07-21 12:35:21---38733-- region:1-- type:0--value:B001AN0DRQ-- status:SUCCESS
2017-07-21 12:35:27---38734-- region:1-- type:0--value:B001AWXPAY-- status:SUCCESS
2017-07-21 12:35:34---38735-- region:1-- type:0--value:B001B0QKLG-- status:SUCCESS
2017-07-21 12:35:42---38736-- region:1-- type:0--value:B001B2S422-- status:SUCCESS
2017-07-21 12:35:49---38737-- region:1-- type:0--value:B001BCSUKI-- status:SUCCESS
2017-07-21 12:35:55---38738-- region:1-- type:0--value:B001CEGHSC-- status:SUCCESS
2017-07-21 12:36:01---38739-- region:1-- type:0--value:B001CHIUT8-- status:SUCCESS
2017-07-21 12:36:07---38740-- region:1-- type:0--value:B001DSQN7W-- status:SUCCESS
2017-07-21 12:36:16---38741-- region:1-- type:0--value:B001DXG4HQ-- status:SUCCESS
2017-07-21 12:36:22---38742-- region:1-- type:0--value:B001EVP2BQ-- status:SUCCESS
2017-07-21 12:36:28---38743-- region:1-- type:0--value:B001F7OV0W-- status:SUCCESS
2017-07-21 12:36:36---38744-- region:1-- type:0--value:B001G5SU5K-- status:SUCCESS
2017-07-21 12:36:42---38745-- region:1-- type:0--value:B001IROPSM-- status:SUCCESS
2017-07-21 12:36:49---38746-- region:1-- type:0--value:B001J292BG-- status:SUCCESS
2017-07-21 12:36:56---38747-- region:1-- type:0--value:B001JI21I6-- status:SUCCESS
2017-07-21 12:37:03---38748-- region:1-- type:0--value:B001JY8YVI-- status:SUCCESS
2017-07-21 12:37:08---38749-- region:1-- type:0--value:B001KWD996-- status:SUCCESS
2017-07-21 12:37:19---38750-- region:1-- type:0--value:B001MVAOU2-- status:SUCCESS
2017-07-21 12:37:25---38751-- region:1-- type:0--value:B001N00GHS-- status:SUCCESS
2017-07-21 12:37:32---38752-- region:1-- type:0--value:B001P42MGU-- status:SUCCESS
2017-07-21 12:37:40---38753-- region:1-- type:0--value:B001PHA0KW-- status:SUCCESS
2017-07-21 12:37:46---38754-- region:1-- type:0--value:B001TOC3P6-- status:SUCCESS
2017-07-21 12:37:53---38755-- region:1-- type:0--value:B001TOC3RE-- status:SUCCESS
2017-07-21 12:37:59---38756-- region:1-- type:0--value:B001TOC3UG-- status:SUCCESS
2017-07-21 12:38:06---38757-- region:1-- type:0--value:B001TOFRGS-- status:SUCCESS
2017-07-21 12:38:16---38758-- region:1-- type:0--value:B001TOJG10-- status:SUCCESS
2017-07-21 12:38:23---38759-- region:1-- type:0--value:B001TOJG9M-- status:SUCCESS
2017-07-21 12:38:28---38760-- region:1-- type:0--value:B001TOLFXW-- status:SUCCESS
2017-07-21 12:38:37---38761-- region:1-- type:0--value:B001TOLG04-- status:SUCCESS
2017-07-21 12:38:43---38762-- region:1-- type:0--value:B001TON9UO-- status:SUCCESS
2017-07-21 12:38:52---38763-- region:1-- type:0--value:B001U3ZQS2-- status:SUCCESS
2017-07-21 12:39:01---38764-- region:1-- type:0--value:B001U3ZQX2-- status:SUCCESS
2017-07-21 12:39:06---38765-- region:1-- type:0--value:B001UA7RWI-- status:SUCCESS
2017-07-21 12:39:12---38766-- region:1-- type:0--value:B001UA990G-- status:SUCCESS
2017-07-21 12:39:19---38767-- region:1-- type:0--value:B001UC55UC-- status:SUCCESS
2017-07-21 12:39:24---38768-- region:1-- type:0--value:B001UQ5P1W-- status:SUCCESS
2017-07-21 12:39:32---38769-- region:1-- type:0--value:B0020YNHCM-- status:SUCCESS
2017-07-21 12:39:38---38770-- region:1-- type:0--value:B0024LVE1W-- status:SUCCESS
2017-07-21 12:39:45---38771-- region:1-- type:0--value:B0026JHXQM-- status:SUCCESS
2017-07-21 12:39:52---38772-- region:1-- type:0--value:B0026O8XNE-- status:SUCCESS
2017-07-21 12:40:02---38773-- region:1-- type:0--value:B00275F5EM-- status:SUCCESS
2017-07-21 12:40:10---38774-- region:1-- type:0--value:B0029VA4DG-- status:SUCCESS
2017-07-21 12:40:17---38775-- region:1-- type:0--value:B002BT0BD4-- status:SUCCESS
2017-07-21 12:40:24---38776-- region:1-- type:0--value:B002CI89Q0-- status:SUCCESS
2017-07-21 12:40:28---38777-- region:1-- type:0--value:B002DWAUXU-- status:SUCCESS
2017-07-21 12:40:33---38778-- region:1-- type:0--value:B002DWAV4S-- status:SUCCESS
2017-07-21 12:40:37---38779-- region:1-- type:0--value:B002DWAVCU-- status:SUCCESS
2017-07-21 12:40:42---38780-- region:1-- type:0--value:B002DWAX5K-- status:SUCCESS
2017-07-21 12:40:48---38781-- region:1-- type:0--value:B002DWAX64-- status:SUCCESS
2017-07-21 12:40:53---38782-- region:1-- type:0--value:B002DWAXA0-- status:SUCCESS
2017-07-21 12:40:58---38783-- region:1-- type:0--value:B002DWAXC8-- status:SUCCESS
2017-07-21 12:41:04---38784-- region:1-- type:0--value:B002E1KHBK-- status:SUCCESS
2017-07-21 12:41:11---38785-- region:1-- type:0--value:B002E3GRYO-- status:SUCCESS
2017-07-21 12:41:17---38786-- region:1-- type:0--value:B002JUDJBG-- status:SUCCESS
2017-07-21 12:41:25---38787-- region:1-- type:0--value:B002K858HA-- status:SUCCESS
2017-07-21 12:41:31---38788-- region:1-- type:0--value:B002K8AEOC-- status:SUCCESS
2017-07-21 12:41:37---38789-- region:1-- type:0--value:B002K962SI-- status:SUCCESS
2017-07-21 12:41:46---38790-- region:1-- type:0--value:B002KCZKXS-- status:SUCCESS
2017-07-21 12:41:53---38791-- region:1-- type:0--value:B002KHJYBM-- status:SUCCESS
2017-07-21 12:41:59---38792-- region:1-- type:0--value:B002KL6C72-- status:SUCCESS
2017-07-21 12:42:06---38793-- region:1-- type:0--value:B002LRCEN6-- status:SUCCESS
2017-07-21 12:42:13---38794-- region:1-- type:0--value:B002M81QA6-- status:SUCCESS
2017-07-21 12:42:19---38795-- region:1-- type:0--value:B002OGOSRY-- status:SUCCESS
2017-07-21 12:42:25---38796-- region:1-- type:0--value:B002OL2GHS-- status:SUCCESS
2017-07-21 12:42:31---38797-- region:1-- type:0--value:B002OOWKQW-- status:SUCCESS
2017-07-21 12:42:36---38798-- region:1-- type:0--value:B002Q8241M-- status:SUCCESS
2017-07-21 12:42:42---38799-- region:1-- type:0--value:B002RVW9SG-- status:SUCCESS
2017-07-21 12:42:49---38800-- region:1-- type:0--value:B002SY8TK4-- status:SUCCESS
2017-07-21 12:42:57---38801-- region:1-- type:0--value:B002TEXEAI-- status:SUCCESS
2017-07-21 12:43:03---38802-- region:1-- type:0--value:B002W6YYXY-- status:SUCCESS
2017-07-21 12:43:08---38803-- region:1-- type:0--value:B002XY46OW-- status:SUCCESS
2017-07-21 12:43:13---38804-- region:1-- type:0--value:B002XY46PQ-- status:SUCCESS
2017-07-21 12:43:23---38805-- region:1-- type:0--value:B002Y1FD5U-- status:SUCCESS
2017-07-21 12:43:30---38806-- region:1-- type:0--value:B002Y8X7N8-- status:SUCCESS
2017-07-21 12:43:37---38807-- region:1-- type:0--value:B002YJWDY6-- status:SUCCESS
2017-07-21 12:43:44---38808-- region:1-- type:0--value:B002ZHIBAM-- status:SUCCESS
2017-07-21 12:43:50---38809-- region:1-- type:0--value:B00302F6WC-- status:SUCCESS
2017-07-21 12:43:59---38810-- region:1-- type:0--value:B00309QC8M-- status:SUCCESS
2017-07-21 12:44:05---38811-- region:1-- type:0--value:B0030JB7N2-- status:SUCCESS
2017-07-21 12:44:12---38812-- region:1-- type:0--value:B0031EOJCM-- status:SUCCESS
2017-07-21 12:44:20---38813-- region:1-- type:0--value:B0031EUNHM-- status:SUCCESS
2017-07-21 12:44:27---38814-- region:1-- type:0--value:B0033QQ2B4-- status:SUCCESS
2017-07-21 12:44:35---38815-- region:1-- type:0--value:B00342V1V8-- status:SUCCESS
2017-07-21 12:44:43---38816-- region:1-- type:0--value:B003551M9K-- status:SUCCESS
2017-07-21 12:44:51---38817-- region:1-- type:0--value:B0035BDJFE-- status:SUCCESS
2017-07-21 12:44:58---38818-- region:1-- type:0--value:B0035BJHGO-- status:SUCCESS
2017-07-21 12:45:06---38819-- region:1-- type:0--value:B0035LXOPY-- status:SUCCESS
2017-07-21 12:45:13---38820-- region:1-- type:0--value:B0036A8Y6S-- status:SUCCESS
2017-07-21 12:45:21---38821-- region:1-- type:0--value:B0036PSX0K-- status:SUCCESS
2017-07-21 12:45:28---38822-- region:1-- type:0--value:B0036PXME2-- status:SUCCESS
2017-07-21 12:45:33---38823-- region:1-- type:0--value:B003774Y8M-- status:SUCCESS
2017-07-21 12:45:40---38824-- region:1-- type:0--value:B0037XQT7A-- status:SUCCESS
2017-07-21 12:45:48---38825-- region:1-- type:0--value:B00385LJAY-- status:SUCCESS
2017-07-21 12:45:54---38826-- region:1-- type:0--value:B003891RMA-- status:SUCCESS
2017-07-21 12:46:01---38827-- region:1-- type:0--value:B0039X4NYY-- status:SUCCESS
2017-07-21 12:46:07---38828-- region:1-- type:0--value:B003A5PB2O-- status:SUCCESS
2017-07-21 12:46:15---38829-- region:1-- type:0--value:B003A5PB3S-- status:SUCCESS
2017-07-21 12:46:21---38830-- region:1-- type:0--value:B003BEHL0Y-- status:SUCCESS
2017-07-21 12:46:29---38831-- region:1-- type:0--value:B003BEHL18-- status:SUCCESS
2017-07-21 12:46:37---38832-- region:1-- type:0--value:B003CK4V8C-- status:SUCCESS
2017-07-21 12:46:45---38833-- region:1-- type:0--value:B003CKNYPS-- status:SUCCESS
2017-07-21 12:46:53---38834-- region:1-- type:0--value:B003CR6DWM-- status:SUCCESS
2017-07-21 12:47:00---38835-- region:1-- type:0--value:B003E5RO70-- status:SUCCESS
2017-07-21 12:47:06---38836-- region:1-- type:0--value:B003EDB5UE-- status:SUCCESS
2017-07-21 12:47:12---38837-- region:1-- type:0--value:B003EVHV6S-- status:SUCCESS
2017-07-21 12:47:22---38838-- region:1-- type:0--value:B003H05L5O-- status:SUCCESS
2017-07-21 12:47:28---38839-- region:1-- type:0--value:B003JT7SK4-- status:SUCCESS
2017-07-21 12:47:34---38840-- region:1-- type:0--value:B003JTZD8I-- status:SUCCESS
2017-07-21 12:47:39---38841-- region:1-- type:0--value:B003M78X3Y-- status:SUCCESS
2017-07-21 12:47:45---38842-- region:1-- type:0--value:B003OD0J1K-- status:SUCCESS
2017-07-21 12:47:50---38843-- region:1-- type:0--value:B003OM2LYY-- status:SUCCESS
2017-07-21 12:47:58---38844-- region:1-- type:0--value:B003REDIGO-- status:SUCCESS
2017-07-21 12:48:05---38845-- region:1-- type:0--value:B003S49FE2-- status:SUCCESS
2017-07-21 12:48:11---38846-- region:1-- type:0--value:B003SI0LE6-- status:SUCCESS
2017-07-21 12:48:17---38847-- region:1-- type:0--value:B003SI7PXG-- status:SUCCESS
2017-07-21 12:48:23---38848-- region:1-- type:0--value:B003UNUMAW-- status:SUCCESS
2017-07-21 12:48:31---38849-- region:1-- type:0--value:B003UW5PVE-- status:SUCCESS
2017-07-21 12:48:37---38850-- region:1-- type:0--value:B003UYYR0C-- status:SUCCESS
2017-07-21 12:48:43---38851-- region:1-- type:0--value:B003VJSCL6-- status:SUCCESS
2017-07-21 12:48:48---38852-- region:1-- type:0--value:B003WL0Z90-- status:SUCCESS
2017-07-21 12:48:57---38853-- region:1-- type:0--value:B003WOJ6FQ-- status:SUCCESS
2017-07-21 12:49:06---38854-- region:1-- type:0--value:B003X2JHL0-- status:SUCCESS
2017-07-21 12:49:13---38855-- region:1-- type:0--value:B003YBUQ2O-- status:SUCCESS
2017-07-21 12:49:19---38856-- region:1-- type:0--value:B003YFH8EE-- status:SUCCESS
2017-07-21 12:49:25---38857-- region:1-- type:0--value:B003YFH9WU-- status:SUCCESS
2017-07-21 12:49:31---38858-- region:1-- type:0--value:B003ZWOEMA-- status:SUCCESS
2017-07-21 12:49:39---38859-- region:1-- type:0--value:B0041H4K8G-- status:SUCCESS
2017-07-21 12:49:46---38860-- region:1-- type:0--value:B0041LE4BK-- status:SUCCESS
2017-07-21 12:49:53---38861-- region:1-- type:0--value:B0041OSWUG-- status:SUCCESS
2017-07-21 12:49:59---38862-- region:1-- type:0--value:B0041R9NMO-- status:SUCCESS
2017-07-21 12:50:05---38863-- region:1-- type:0--value:B0042VK7LK-- status:SUCCESS
2017-07-21 12:50:11---38864-- region:1-- type:0--value:B0042VK7RO-- status:SUCCESS
2017-07-21 12:50:17---38865-- region:1-- type:0--value:B0042VK7SI-- status:SUCCESS
2017-07-21 12:50:22---38866-- region:1-- type:0--value:B004706WMO-- status:SUCCESS
2017-07-21 12:50:29---38867-- region:1-- type:0--value:B004724O72-- status:SUCCESS
2017-07-21 12:50:34---38868-- region:1-- type:0--value:B0047OO6YG-- status:SUCCESS
2017-07-21 12:50:44---38869-- region:1-- type:0--value:B0047TRZUI-- status:SUCCESS
2017-07-21 12:50:50---38870-- region:1-- type:0--value:B0049DYW3A-- status:SUCCESS
2017-07-21 12:50:57---38871-- region:1-- type:0--value:B004A8G7N2-- status:SUCCESS
2017-07-21 12:51:04---38872-- region:1-- type:0--value:B004AE2DRK-- status:SUCCESS
2017-07-21 12:51:10---38873-- region:1-- type:0--value:B004ALL01S-- status:SUCCESS
2017-07-21 12:51:18---38874-- region:1-- type:0--value:B004ALQPD6-- status:SUCCESS
2017-07-21 12:51:24---38875-- region:1-- type:0--value:B004B8GQ3C-- status:SUCCESS
2017-07-21 12:51:29---38876-- region:1-- type:0--value:B004CTMBXY-- status:SUCCESS
2017-07-21 12:51:36---38877-- region:1-- type:0--value:B004DJ65XK-- status:SUCCESS
2017-07-21 12:51:42---38878-- region:1-- type:0--value:B004DJ7NOK-- status:SUCCESS
2017-07-21 12:51:48---38879-- region:1-- type:0--value:B004G2M7CM-- status:SUCCESS
2017-07-21 12:51:55---38880-- region:1-- type:0--value:B004H3TDTK-- status:SUCCESS
2017-07-21 12:52:01---38881-- region:1-- type:0--value:B004H7QGZA-- status:SUCCESS
2017-07-21 12:52:08---38882-- region:1-- type:0--value:B004HQX9TM-- status:SUCCESS
2017-07-21 12:52:15---38883-- region:1-- type:0--value:B004HZC3LS-- status:SUCCESS
2017-07-21 12:52:21---38884-- region:1-- type:0--value:B004I0L3UE-- status:SUCCESS
2017-07-21 12:52:30---38885-- region:1-- type:0--value:B004JV34RC-- status:SUCCESS
2017-07-21 12:52:38---38886-- region:1-- type:0--value:B004K1SCL4-- status:SUCCESS
2017-07-21 12:52:44---38887-- region:1-- type:0--value:B004L27QEG-- status:SUCCESS
2017-07-21 12:52:52---38888-- region:1-- type:0--value:B004LLNLX2-- status:SUCCESS
2017-07-21 12:52:57---38889-- region:1-- type:0--value:B004LOG2RQ-- status:SUCCESS
2017-07-21 12:53:03---38890-- region:1-- type:0--value:B004M3M26Q-- status:SUCCESS
2017-07-21 12:53:09---38891-- region:1-- type:0--value:B004M58D7Q-- status:SUCCESS
2017-07-21 12:53:15---38892-- region:1-- type:0--value:B004M5FWDE-- status:SUCCESS
2017-07-21 12:53:23---38893-- region:1-- type:0--value:B004M5SDXK-- status:SUCCESS
2017-07-21 12:53:30---38894-- region:1-- type:0--value:B004M5UKNG-- status:SUCCESS
2017-07-21 12:53:36---38895-- region:1-- type:0--value:B004MGCOKM-- status:SUCCESS
2017-07-21 12:53:42---38896-- region:1-- type:0--value:B004MMC5T6-- status:SUCCESS
2017-07-21 12:53:48---38897-- region:1-- type:0--value:B004NO55IG-- status:SUCCESS
2017-07-21 12:53:57---38898-- region:1-- type:0--value:B004O6JT44-- status:SUCCESS
2017-07-21 12:54:06---38899-- region:1-- type:0--value:B004PASL20-- status:SUCCESS
2017-07-21 12:54:13---38900-- region:1-- type:0--value:B004PBH48Q-- status:SUCCESS
2017-07-21 12:54:19---38901-- region:1-- type:0--value:B004PGTOJS-- status:SUCCESS
2017-07-21 12:54:26---38902-- region:1-- type:0--value:B004Q3CJQ0-- status:SUCCESS
2017-07-21 12:54:32---38903-- region:1-- type:0--value:B004QEWRBG-- status:SUCCESS
2017-07-21 12:54:40---38904-- region:1-- type:0--value:B004R9ZFX2-- status:SUCCESS
2017-07-21 12:54:48---38905-- region:1-- type:0--value:B004RCQD44-- status:SUCCESS
2017-07-21 12:54:53---38906-- region:1-- type:0--value:B004SBHAD2-- status:SUCCESS
2017-07-21 12:54:59---38907-- region:1-- type:0--value:B004SCV1S6-- status:SUCCESS
2017-07-21 12:55:05---38908-- region:1-- type:0--value:B004U5F3OE-- status:SUCCESS
2017-07-21 12:55:10---38909-- region:1-- type:0--value:B004U7K888-- status:SUCCESS
2017-07-21 12:55:18---38910-- region:1-- type:0--value:B004V31NXU-- status:SUCCESS
2017-07-21 12:55:23---38911-- region:1-- type:0--value:B004VDKC14-- status:SUCCESS
2017-07-21 12:55:29---38912-- region:1-- type:0--value:B004VU8K4S-- status:SUCCESS
2017-07-21 12:55:37---38913-- region:1-- type:0--value:B004WAWF5W-- status:SUCCESS
2017-07-21 12:55:44---38914-- region:1-- type:0--value:B004WLWL8M-- status:SUCCESS
2017-07-21 12:55:52---38915-- region:1-- type:0--value:B004XA81OU-- status:SUCCESS
2017-07-21 12:56:02---38916-- region:1-- type:0--value:B004XL757S-- status:SUCCESS
2017-07-21 12:56:08---38917-- region:1-- type:0--value:B004Z558EO-- status:SUCCESS
2017-07-21 12:56:14---38918-- region:1-- type:0--value:B004Z558J4-- status:SUCCESS
2017-07-21 12:56:23---38919-- region:1-- type:0--value:B00507T8BU-- status:SUCCESS
2017-07-21 12:56:30---38920-- region:1-- type:0--value:B0050DLDJE-- status:SUCCESS
2017-07-21 12:56:37---38921-- region:1-- type:0--value:B0050MHUEW-- status:SUCCESS
2017-07-21 12:56:43---38922-- region:1-- type:0--value:B005346PTI-- status:SUCCESS
2017-07-21 12:56:48---38923-- region:1-- type:0--value:B00563PEXY-- status:SUCCESS
2017-07-21 12:56:58---38924-- region:1-- type:0--value:B0056FXFRO-- status:SUCCESS
2017-07-21 13:35:07---find a robot
2017-07-21 13:35:13---38925-- region:1-- type:0--value:B0056IYF66-- status:SUCCESS
2017-07-21 13:35:20---38926-- region:1-- type:0--value:B0057FM0WY-- status:SUCCESS
2017-07-21 13:35:25---38927-- region:1-- type:0--value:B005ASYGL6-- status:SUCCESS
2017-07-21 13:35:31---38928-- region:1-- type:0--value:B005BA7OWQ-- status:SUCCESS
2017-07-21 13:35:37---38929-- region:1-- type:0--value:B005BHNCO8-- status:SUCCESS
2017-07-21 13:35:43---38930-- region:1-- type:0--value:B005CPUB98-- status:SUCCESS
2017-07-21 13:35:48---38931-- region:1-- type:0--value:B005ERMXKO-- status:SUCCESS
2017-07-21 13:35:54---38932-- region:1-- type:0--value:B005ERMXV8-- status:SUCCESS
2017-07-21 13:36:00---38933-- region:1-- type:0--value:B005EYWT38-- status:SUCCESS
2017-07-21 13:36:06---38934-- region:1-- type:0--value:B005F9EOKS-- status:SUCCESS
2017-07-21 13:36:11---38935-- region:1-- type:0--value:B005FNWFYQ-- status:SUCCESS
2017-07-21 13:36:17---38936-- region:1-- type:0--value:B005FP2YSG-- status:SUCCESS
2017-07-21 13:36:23---38937-- region:1-- type:0--value:B005FQPQ4Y-- status:SUCCESS
2017-07-21 13:36:28---38938-- region:1-- type:0--value:B005GBUGZM-- status:SUCCESS
2017-07-21 13:36:34---38939-- region:1-- type:0--value:B005GFHYA8-- status:SUCCESS
2017-07-21 13:36:40---38940-- region:1-- type:0--value:B005HVXV8U-- status:SUCCESS
2017-07-21 13:36:45---38941-- region:1-- type:0--value:B005K8DTMI-- status:SUCCESS
2017-07-21 13:36:51---38942-- region:1-- type:0--value:B005LB3QNG-- status:SUCCESS
2017-07-21 13:36:57---38943-- region:1-- type:0--value:B005LUS5AG-- status:SUCCESS
2017-07-21 13:37:03---38944-- region:1-- type:0--value:B005LXDETU-- status:SUCCESS
2017-07-21 13:37:09---38945-- region:1-- type:0--value:B005MIXHMS-- status:SUCCESS
2017-07-21 13:37:16---38946-- region:1-- type:0--value:B005NB0EUW-- status:SUCCESS
2017-07-21 13:37:22---38947-- region:1-- type:0--value:B005NV7IHY-- status:SUCCESS
2017-07-21 13:37:23---38948-- region:1-- type:0--value:B005NX0PZE-- status:SUCCESS
2017-07-21 13:37:28---38949-- region:1-- type:0--value:B005OWUBQM-- status:SUCCESS
2017-07-21 13:37:34---38950-- region:1-- type:0--value:B005OWUFFY-- status:SUCCESS
2017-07-21 13:37:39---38951-- region:1-- type:0--value:B005OWUW3Y-- status:SUCCESS
2017-07-21 13:37:43---38952-- region:1-- type:0--value:B005P3EQZW-- status:SUCCESS
2017-07-21 13:37:51---38953-- region:1-- type:0--value:B005Q6CJI4-- status:SUCCESS
